,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
31054,Suicide Kings,1997,9,"Comedy, Crime, Drama",106,USA,English,5000000,1740156,-3259844,44.0,162.0,43.0,0
31071,Telling Lies in America,1997,10,"Drama, Music",101,USA,English,4000000,318809,-3681191,24.0,26.0,65.0,0
31080,Smoke Signals,1998,11,"Comedy, Drama",89,USA,English,2000000,6745362,4745362,43.0,135.0,76.0,1
31096,Toy Story 2 - Woody & Buzz alla riscossa,1999,12,"Animation, Adventure, Comedy",92,USA,"English, Arabic, Spanish",90000000,497374776,407374776,214.0,614.0,88.0,1
31107,The Truman Show,1998,9,"Comedy, Drama, Sci-Fi",103,USA,English,60000000,264118201,204118201,238.0,1165.0,90.0,1
31117,L'oro di Ulisse,1997,8,Drama,113,USA,English,2700000,9161691,6461691,61.0,64.0,77.0,1
31130,Las Vegas - Una vacanza al casinò,1997,2,Comedy,93,USA,English,25000000,36400360,11400360,39.0,108.0,20.0,0
31139,Vulcano - Los Angeles 1997,1997,11,"Action, Drama, Sci-Fi",104,USA,"English, Spanish, German",90000000,122823468,32823468,95.0,212.0,55.0,0
31140,Vulgar,2000,9,"Crime, Drama, Thriller",87,USA,English,120000,15927,-104073,23.0,119.0,5.0,0
31148,Waterboy,1998,8,"Comedy, Sport",90,USA,English,23000000,185991646,162991646,90.0,335.0,41.0,0
31169,Celebrity,1998,12,"Comedy, Drama",113,USA,English,12000000,5078660,-6921340,76.0,162.0,41.0,0
31184,Studio 54,1998,11,"Drama, Music",93,USA,English,13000000,16757163,3757163,69.0,196.0,33.0,0
31187,American History X,1998,8,Drama,119,USA,English,20000000,23875127,3875127,174.0,1594.0,62.0,0
31188,Z la formica,1998,1,"Animation, Adventure, Comedy",83,USA,English,105000000,171757863,66757863,106.0,307.0,72.0,0
31190,Armageddon - Giudizio finale,1998,9,"Action, Adventure, Sci-Fi",151,USA,"English, Russian, Indonesian",140000000,553709788,413709788,171.0,1228.0,42.0,0
