,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
36250,The Watcher,2000,9,"Crime, Drama, Mystery",97,USA,"English, Vietnamese",5.3,25538,30000000.0,47267829,17267829.0,22.0
36274,Camera Obscura,2000,1,"Crime, Drama, Thriller",99,USA,English,4.2,139,2000000.0,114015,-1885985.0,39.0
36275,Ragazze nel pallone,2000,5,"Comedy, Romance, Sport",98,USA,English,6.0,85738,11000000.0,90449929,79449929.0,52.0
36277,Gigolò per sbaglio,1999,7,"Comedy, Romance",88,USA,English,5.7,69672,17000000.0,92938755,75938755.0,30.0
36284,Il dottor T & le donne,2000,9,"Comedy, Drama, Romance",122,"USA, Germany","English, German, Spanish",4.6,17516,23000000.0,22844291,-155709.0,64.0
36292,Thomas and the Magic Railroad,2000,7,"Adventure, Comedy, Drama",85,"UK, USA, Isle Of Man",English,4.1,3660,19000000.0,19748009,748009.0,19.0
36322,Madison,2001,9,"Drama, Sport",94,USA,English,6.3,1230,13500000.0,517262,-12982738.0,43.0
36332,Psycho Beach Party,2000,9,"Comedy, Horror, Mystery",95,"Australia, USA",English,6.2,5431,1500000.0,268117,-1231883.0,42.0
36335,Save the Last Dance,2001,9,"Drama, Music, Romance",112,USA,English,6.2,56471,13000000.0,131706809,118706809.0,53.0
36339,Radio Killer,2001,6,"Action, Mystery, Thriller",97,USA,English,6.6,62993,23000000.0,36642838,13642838.0,75.0
36345,Per incanto o per delizia,2000,5,"Comedy, Fantasy, Romance",92,USA,"English, Portuguese",5.3,9878,8000000.0,10194274,2194274.0,41.0
36354,I figli degli uomini,2006,11,"Adventure, Drama, Sci-Fi",109,"USA, UK, Japan","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian",7.9,456395,76000000.0,70595464,-5404536.0,84.0
36374,My First Mister,2001,10,"Comedy, Drama, Romance",109,"Germany, USA",English,7.1,5358,5250000.0,595005,-4654995.0,48.0
36389,What Women Want - Quello che le donne vogliono,2000,2,"Comedy, Fantasy, Romance",127,USA,English,6.4,188711,70000000.0,374111707,304111707.0,47.0
36404,How to Kill Your Neighbor's Dog,2000,3,"Comedy, Drama",107,"Germany, USA",English,6.9,3416,7300000.0,73510,-7226490.0,40.0
36415,Big Mama,2000,4,"Action, Comedy, Crime",99,"Germany, USA",English,5.2,79813,30000000.0,173959438,143959438.0,33.0
36422,Snatch - Lo strappo,2000,3,"Comedy, Crime",104,"UK, USA","English, Russian",8.3,766589,6000000.0,83557872,77557872.0,55.0
36459,The Contender,2000,5,"Drama, Thriller",126,"USA, Germany, UK",English,6.9,22522,20000000.0,22428990,2428990.0,59.0
36465,La vendetta di Carter,2000,6,"Action, Crime, Drama",102,USA,English,5.2,32142,63600000.0,19412993,-44187007.0,24.0
36475,Memento,2000,1,"Mystery, Thriller",113,USA,English,8.4,1098879,9000000.0,39970386,30970386.0,80.0
36476,La mummia - Il ritorno,2001,5,"Action, Adventure, Fantasy",130,USA,"English, Arabic",6.3,296653,98000000.0,443280904,345280904.0,48.0
36496,Prima o poi mi sposo,2001,3,"Comedy, Romance",103,"Germany, USA","English, Italian",5.3,74640,35000000.0,94728529,59728529.0,33.0
36503,The Cell - La cellula,2000,9,"Horror, Sci-Fi, Thriller",107,"USA, Germany",English,6.3,93899,33000000.0,104155843,71155843.0,40.0
36510,Licantropia Evolution - Ritorno al presente,2000,5,"Drama, Fantasy, Horror",108,Canada,English,6.8,40897,5000000.0,2554,-4997446.0,70.0
36511,Girlfight,2000,3,"Drama, Sport",110,USA,"English, Spanish",6.7,9264,1000000.0,1666028,666028.0,70.0
36521,Pandaemonium,2000,4,"Biography, Drama",124,UK,English,6.5,797,15000000.0,17113,-14982887.0,60.0
36524,Pokémon 2 - La forza di uno,1999,12,"Animation, Action, Adventure",84,Japan,Japanese,6.1,20339,30000000.0,133949270,103949270.0,28.0
36526,Songcatcher,2000,7,"Drama, Music",109,USA,English,7.2,3210,1800000.0,3171273,1371273.0,63.0
36533,Il mistero dell'acqua,2000,3,"Crime, Drama, Mystery",114,"USA, Canada, France",English,5.9,8852,16000000.0,321279,-15678721.0,45.0
36536,Beautiful - Una vita da miss,2000,9,"Comedy, Drama",112,"USA, UK",English,5.6,3631,14000000.0,3169930,-10830070.0,23.0
36540,Il ritmo del successo,2000,9,"Drama, Music, Romance",115,USA,English,6.7,18693,29000000.0,26385941,-2614059.0,52.0
36564,Il sapore della vittoria - Uniti si vince,2000,4,"Biography, Drama, Sport",113,USA,English,7.8,194366,30000000.0,136706683,106706683.0,48.0
36572,La carica dei 102 - Un nuovo colpo di coda,2000,1,"Adventure, Comedy, Family",100,"USA, UK",English,4.9,34086,85000000.0,183611771,98611771.0,35.0
36587,Jason X,2001,6,"Action, Horror, Sci-Fi",91,"Canada, USA",English,4.4,49404,11000000.0,17077882,6077882.0,25.0
36604,Il favoloso mondo di Amélie,2001,1,"Comedy, Romance",122,"France, Germany","French, Russian, English",8.3,690480,10000000.0,173924742,163924742.0,69.0
36606,Awake - Anestesia cosciente,2007,11,"Crime, Drama, Mystery",84,USA,"English, Japanese",6.5,71829,8600000.0,32730062,24130062.0,33.0
36608,Bait - L'esca,2000,9,"Action, Comedy, Crime",119,"Canada, USA",English,5.8,10420,51000000.0,15471969,-35528031.0,39.0
36626,Ti presento i miei,2000,2,"Comedy, Romance",108,USA,"English, Thai, Spanish, Hebrew, French",7.0,306467,55000000.0,330444045,275444045.0,73.0
